Medicine Name,Active Ingredient,Elderly (65+ yr),Warnings,Drug Interactions
Paracetamol 106,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Ibuprofen 106,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 106,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Metformin 106,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 106,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 107,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Ibuprofen 107,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 107,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 107,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 107,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Paracetamol 108,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Ibuprofen 108,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 108,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Metformin 108,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 108,Atorvastatin,Start at lower dose,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Paracetamol 109,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Ibuprofen 109,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Amoxicillin 109,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Metformin 109,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Atorvastatin 109,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 110,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Ibuprofen 110,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Amoxicillin 110,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Metformin 110,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Atorvastatin 110,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Paracetamol 111,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Ibuprofen 111,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Amoxicillin 111,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Metformin 111,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 111,Atorvastatin,Start at lower dose,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 112,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 112,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Amoxicillin 112,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 112,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Atorvastatin 112,Atorvastatin,Start at lower dose,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 113,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Ibuprofen 113,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 113,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Metformin 113,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 113,Atorvastatin,Start at lower dose,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 114,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Ibuprofen 114,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 114,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 114,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Atorvastatin 114,Atorvastatin,Start at lower dose,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Paracetamol 115,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Ibuprofen 115,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Amoxicillin 115,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 115,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Atorvastatin 115,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Paracetamol 116,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 116,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Amoxicillin 116,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Metformin 116,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Atorvastatin 116,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Paracetamol 117,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 117,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 117,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Metformin 117,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 117,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 118,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Ibuprofen 118,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 118,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Metformin 118,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Atorvastatin 118,Atorvastatin,Start at lower dose,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 119,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Ibuprofen 119,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Amoxicillin 119,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Metformin 119,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Atorvastatin 119,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Paracetamol 120,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Ibuprofen 120,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Amoxicillin 120,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Metformin 120,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 120,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Paracetamol 121,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Ibuprofen 121,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Amoxicillin 121,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 121,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Atorvastatin 121,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Paracetamol 122,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Ibuprofen 122,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Amoxicillin 122,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Metformin 122,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 122,Atorvastatin,Start at lower dose,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 123,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Ibuprofen 123,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 123,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Metformin 123,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Atorvastatin 123,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Paracetamol 124,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Ibuprofen 124,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Amoxicillin 124,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Metformin 124,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Atorvastatin 124,Atorvastatin,Start at lower dose,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Paracetamol 125,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 125,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Amoxicillin 125,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 125,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 125,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Paracetamol 126,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Ibuprofen 126,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 126,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Metformin 126,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Atorvastatin 126,Atorvastatin,Start at lower dose,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 127,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Ibuprofen 127,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 127,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Metformin 127,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 127,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 128,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 128,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Amoxicillin 128,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 128,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Atorvastatin 128,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Paracetamol 129,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Ibuprofen 129,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Amoxicillin 129,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 129,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Atorvastatin 129,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 130,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Ibuprofen 130,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Amoxicillin 130,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Metformin 130,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 130,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Paracetamol 131,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 131,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 131,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 131,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Atorvastatin 131,Atorvastatin,Start at lower dose,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Paracetamol 132,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Ibuprofen 132,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 132,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Metformin 132,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Atorvastatin 132,Atorvastatin,Start at lower dose,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Paracetamol 133,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Ibuprofen 133,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Amoxicillin 133,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Metformin 133,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 133,Atorvastatin,Start at lower dose,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 134,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Ibuprofen 134,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Amoxicillin 134,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 134,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Atorvastatin 134,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Paracetamol 135,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Ibuprofen 135,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 135,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Metformin 135,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 135,Atorvastatin,Start at lower dose,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 136,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 136,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Amoxicillin 136,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Metformin 136,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Atorvastatin 136,Atorvastatin,Start at lower dose,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 137,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Ibuprofen 137,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 137,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 137,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Atorvastatin 137,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 138,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Ibuprofen 138,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 138,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 138,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 138,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 139,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Ibuprofen 139,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Amoxicillin 139,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Metformin 139,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Atorvastatin 139,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Paracetamol 140,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 140,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Amoxicillin 140,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Metformin 140,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 140,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Paracetamol 141,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Ibuprofen 141,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 141,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Metformin 141,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Atorvastatin 141,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Paracetamol 142,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Ibuprofen 142,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Amoxicillin 142,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Metformin 142,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 142,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Paracetamol 143,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Ibuprofen 143,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Amoxicillin 143,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Metformin 143,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Atorvastatin 143,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 144,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Ibuprofen 144,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Amoxicillin 144,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Metformin 144,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 144,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Paracetamol 145,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Ibuprofen 145,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Amoxicillin 145,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 145,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Atorvastatin 145,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 146,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Ibuprofen 146,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Amoxicillin 146,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 146,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 146,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Paracetamol 147,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Ibuprofen 147,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Amoxicillin 147,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Metformin 147,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 147,Atorvastatin,Start at lower dose,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Paracetamol 148,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Ibuprofen 148,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 148,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Metformin 148,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Atorvastatin 148,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Paracetamol 149,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Ibuprofen 149,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Amoxicillin 149,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Metformin 149,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Atorvastatin 149,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 150,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 150,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Amoxicillin 150,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Metformin 150,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Atorvastatin 150,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
